smiles,Eea,mfp_MQNs13,mfp_MQNs14,mfp_MQNs15,mfp_MQNs16,mfp_MQNs17,mfp_MQNs18,mfp_MQNs19,mfp_MQNs20,mfp_MQNs21,mfp_MQNs22,mfp_MQNs23,mfp_MQNs24,mfp_MQNs25,mfp_MQNs26,mfp_MQNs27,mfp_MQNs28,mfp_MQNs29,mfp_MQNs30,mfp_MQNs31,mfp_MQNs32,mfp_MQNs33,mfp_MQNs34,mfp_MQNs35,mfp_MQNs36,mfp_MQNs37,mfp_MQNs38,mfp_MQNs39,mfp_MQNs40,mfp_MQNs41,mfp_MQNs42,mfp_NumAromaticRings,mfp_NumAliphaticRings,mfp_Chi0n,mfp_Chi0v,mfp_Chi1n,mfp_Chi1v,mfp_Chi2n,mfp_Chi2v,mfp_HallKierAlpha,mfp_tpsa
[*]CC([*])C,0.4343,0.909090909,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863636364,0.136363636,0.409090909,0.045454545,0.011363636,0.011363636,0,0
[*]CC([*])F,0.874,0.875,0,0,0,0,0,0.125,0,0,0,0,0,0,0.125,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797245559,0.172245559,0.36737278,0.05487278,0.01181139,0.01181139,0.00875,0
[*]CC([*])(F)F,1.1415,0.875,0,0,0,0,0,0.125,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719491118,0.219491118,0.328495559,0.078495559,0.032551351,0.032551351,0.0175,0
[*]C(F)C([*])(F)F,1.524,0.875,0,0,0,0,0,0.125,0,0,0,0,0,0,0.375,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641736677,0.266736677,0.289618339,0.102118339,0.044362741,0.044362741,0.02625,0
[*]CCC(F)(F)C([*])(F)F,0.4489,0.928571429,0,0,0,0,0,0.214285714,0,0,0,0,0,0,0.285714286,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679418421,0.250846992,0.321852068,0.107566353,0.068557418,0.068557418,0.02,0
[*]CO[*],0.9897,0.833333333,0,0,0,0,0,0.166666667,0.333333333,0.166666667,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818041382,0.151374715,0.352062073,0.034020691,0,0,0.006666667,0.842916667
[*]CCO[*],0.3936,0.888888889,0,0,0,0,0,0.222222222,0.222222222,0.111111111,0,0,0,0,0,0.111111111,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823138699,0.156472032,0.373596937,0.050458238,0.01134023,0.01134023,0.004444444,0.561944444
[*]CC(O[*])C(F)(F)F,0.7546,0.916666667,0,0,0,0,0,0.166666667,0.166666667,0.083333333,0,0,0,0,0.25,0.083333333,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670178476,0.253511809,0.306609929,0.105922571,0.068906935,0.068906935,0.020833333,0.421458333
[*]CCCO[*],0.5672,0.916666667,0,0,0,0,0,0.25,0.166666667,0.083333333,0,0,0,0,0,0.083333333,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825687358,0.159020691,0.38436437,0.058677012,0.018921839,0.018921839,0.003333333,0.421458333
[*]Oc1ccc(Cc2ccc([*])cc2)cc1,1.1795,0.576923077,0,0,0.230769231,0.230769231,0,0.115384615,0.076923077,0.038461538,0,0,0,0,0,0.038461538,0,0.038461538,0,0.461538462,0,0,0,0,0.076923077,0,0,0,0,0,0,0.076923077,0,0.727240319,0.265701857,0.369706632,0.142466313,0.089581698,0.089581698,0.067692308,0.194519231
[*]CCCCCOCO[*],0.5413,0.954545455,0,0,0,0,0,0.318181818,0.181818182,0.090909091,0,0,0,0,0,0.090909091,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809840754,0.173477117,0.387300942,0.073289656,0.030111704,0.030111704,0.003636364,0.334772727
[*]CCOC(=O)NCCOCCOCCNC(=O)O[*],0.573,0.921052632,0.052631579,0,0,0,0,0.289473684,0.368421053,0.210526316,0,0,0,0,0.052631579,0.105263158,0.105263158,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745892551,0.219576761,0.356163684,0.098198539,0.047250664,0.047250664,0.040526316,0.698157895
[*]CCCCCS[*],0.5118,0.944444444,0,0,0,0,0,0.277777778,0,0,0,0,0,0,0,0.055555556,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828236016,0.206930271,0.395131802,0.089576246,0.026503448,0.037843679,0.019444444,0
[*]Sc1ccc([*])cc1,2.0372,0.538461538,0,0,0.230769231,0.230769231,0,0.076923077,0,0,0,0,0,0,0,0.076923077,0,0,0,0.461538462,0,0,0,0,0.076923077,0,0,0,0,0,0,0.076923077,0,0.723711407,0.324980375,0.35479788,0.162490187,0.073394165,0.10479788,0.033076923,0
[*]CCOC(=O)CCCCC(=O)O[*],1.0754,0.884615385,0.076923077,0,0,0,0,0.269230769,0.307692308,0.153846154,0,0,0,0,0.076923077,0.076923077,0.076923077,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755115122,0.216653583,0.362648808,0.096946951,0.049193812,0.049193812,0.040769231,0.611538462
[*]CCOC(=O)CCCCCCC(=O)O[*],0.8924,0.90625,0.0625,0,0,0,0,0.28125,0.25,0.125,0,0,0,0,0.0625,0.0625,0.0625,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769781036,0.207281036,0.372777157,0.094394398,0.047782472,0.047782472,0.033125,0.496875
[*]CCOC(=O)c1ccc(C(=O)O[*])cc1,2.2723,0.666666667,0.083333333,0,0.125,0.125,0,0.166666667,0.333333333,0.166666667,0,0,0,0,0.083333333,0.083333333,0.083333333,0.083333333,0,0.25,0,0,0,0,0.041666667,0,0,0,0,0,0,0.041666667,0,0.693041382,0.276374715,0.340786209,0.136275864,0.084543296,0.084543296,0.076666667,0.6625
[*]CCCCOC(=O)c1ccc(C(=O)O[*])cc1,2.4936,0.733333333,0.066666667,0,0.1,0.1,0,0.2,0.266666667,0.133333333,0,0,0,0,0.066666667,0.066666667,0.066666667,0.133333333,0,0.2,0,0,0,0,0.033333333,0,0,0,0,0,0,0.033333333,0,0.721099772,0.254433105,0.355962301,0.125687358,0.07596797,0.07596797,0.061333333,0.53
